transaction_id,sender_id,receiver_id,transaction_type,Importo,transaction_date
c1d8aef7-6bad-43b6-aadc-7df7f52e8505,1,1,prelievo,5457.52,2023-04-06 02:01:32
758d374e-ed23-4517-a3aa-dbc6bb0fcf6e,1,1,bonifico,6758.79,2023-08-31 18:54:57
1850542b-cf6b-483f-b1b9-83ed22404b0c,1,1,deposito,8205.97,2023-07-14 07:29:49
af358efb-b158-4492-8a07-da2a39ff674e,2,2,prelievo,5457.52,2023-09-13 01:39:04
bcec4c6b-dfa3-489e-bf03-cff4429a7313,2,2,deposito,8205.97,2023-01-04 14:34:03
f1d1286c-0e32-492e-84b1-2ef21797f6a3,2,2,pagamento,9459.26,2023-08-16 19:09:14
6b40dcba-0857-4cc6-b619-9ea698baeb30,3,3,investimento,8077.91,2023-08-31 20:38:02
4b2f3fd1-6830-4444-8c2e-23635bad8ce2,4,4,prelievo,5457.52,2023-05-20 21:53:41
906eaa12-da0c-45c5-8595-1ec3befa9b6a,4,4,investimento,8077.91,2023-01-24 10:42:07
5aa75f57-dd7c-4039-9e3c-faa073898ff3,4,4,pagamento,9459.26,2023-05-07 22:52:48
bfb6cbb0-0941-4b8c-8913-3979a8dfa59e,4,4,bonifico,6758.79,2023-05-11 15:48:01
3cc4904b-893a-4c69-8b66-620f238f0b21,4,4,bonifico,6758.79,2023-04-13 13:48:35
55c766c5-38e9-4617-9c37-75ebf47a7b69,5,5,investimento,8077.91,2023-05-29 22:28:02
c333b14f-119f-4ef3-a98e-0de853529e82,5,5,deposito,8205.97,2023-04-28 09:20:53
b79f6c60-9c0b-4807-af81-b0333d24b059,5,5,bonifico,6758.79,2023-08-23 12:06:27
59d6e340-4b44-47e8-845d-d5a2066b58b8,5,5,deposito,8205.97,2023-05-13 13:10:25
2909e5d8-0c54-4673-b500-e9c62e8f7599,5,5,bonifico,6758.79,2023-06-10 14:27:42
f298ef0a-9f72-4e01-baec-669304a824b3,6,6,prelievo,5457.52,2023-01-20 15:01:26
24e54880-543d-4981-9f23-4573e5f968c7,7,7,pagamento,9459.26,2023-08-21 19:25:01
521090fc-cd36-4d90-a60f-d015dc8e52f7,7,7,trasferimento,4968.48,2023-04-11 10:34:10
8f95e250-b2d2-4f5b-9cf6-57d162a9ad29,7,7,investimento,8077.91,2023-07-02 04:41:09
0c801f0d-fa4b-487d-8864-850214241ec3,7,7,prelievo,5457.52,2023-01-07 21:46:22
8bee6baf-bce9-416d-bd4b-500fe0538636,7,7,trasferimento,4968.48,2023-01-16 00:46:28
e7f6391f-bb73-4211-b048-c7cf51aaee59,8,8,trasferimento,4968.48,2023-08-08 20:23:10
6ad47471-5bf5-4bff-afbc-18fffe23fc88,8,8,investimento,8077.91,2023-04-21 19:35:37
0f4277c5-e46d-4143-a595-788d5996f786,8,8,investimento,8077.91,2023-05-12 02:05:46
2fa63305-6882-418b-9e66-e226dd7e524f,8,8,trasferimento,4968.48,2023-08-30 06:00:58
584b9c02-4005-4afd-95e9-dd25f8c66e6e,9,9,trasferimento,4968.48,2023-06-30 18:37:35
fc6cbd60-7c28-4ef3-a325-bfc8d2d59f05,9,9,prelievo,5457.52,2023-07-09 23:26:23
0dd9828f-f416-491c-b885-ea866c0b2b27,9,9,investimento,8077.91,2023-08-11 12:29:37
